Product_Name,Original_Price,Discount_Price,Discount_Percentage,Rating,Compressor_Type,Star_Rating,Shelfing,Litre_Capacity
SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹29,990","₹24,190",19% off,4.4,Digital Inverter Compressor,2 Star : For Energy savings up to 20%,Toughened Glass Shelves,253 L : Good for families of 3-5 members
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,"₹16,990","₹13,990",17% off,4.5,Liner Compressor,2 Star : For Energy savings up to 20%,Toughened Glass Shelves,192 L : Good for couples and small families
SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹28,990","₹23,490",18% off,4.4,Digital Inverter Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,253 L : Good for families of 3-5 members
Godrej 190 L Direct Cool Single Door 3 Star Refrigerator  with Intelligent Inverter Compressor,"₹15,490","₹12,990",16% off,4.3,Inverter,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,190 L : Good for couples and small families
SAMSUNG 670 L Frost Free Double Door 2 Star Refrigerator,"₹89,700","₹79,990",10% off,4.5,Digital Inverter Compressor,2 Star : For Energy savings up to 20%,Wired Shelves,670 L : Good for large families
LG 235 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹24,790","₹19,990",19% off,4.4,Smart Inverter Compressor,4 Star : For Energy savings up to 45%,Toughened Glass Shelves,235 L : Good for families of 3-5 members
LG 260 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹31,090","₹25,290",18% off,4.4,Smart Inverter Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,260 L : Good for families of 3-5 members
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹22,990","₹17,590",23% off,4.4,Digital Inverter Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,230 L
Haier 242 L Direct Cool Single Door 3 Star Refrigerator,"₹26,700","₹16,790",37% off,4.2,Inverter Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,242 L : Good for families of 3-5 members
SAMSUNG 275 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹33,990","₹26,990",20% off,4.3,Digital Inverter Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,275 L : Good for families of 3-5 members
SAMSUNG 700 L Frost Free Side by Side Refrigerator,"₹89,590","₹71,990",19% off,4.5,Digital Inverter Compressor,Toughened Glass Shelves,700 L : Good for large families,Built-in Stabilizer
MOTOROLA 271 L Frost Free Double Door 3 Star Refrigerator,"₹32,999","₹21,499",34% off,4.3,Inverter Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,271 L : Good for families of 3-5 members
LG 260 L Frost Free Double Door 3 Star Refrigerator,"₹31,090","₹25,290",18% off,4.4,Smart Inverter Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,260 L : Good for families of 3-5 members
SAMSUNG 253 L Frost Free Double Door 1 Star Refrigerator,"₹22,800","₹19,690",13% off,4.4,Digital Inverter Compressor,1 Star,Toughened Glass Shelves,253 L : Good for families of 3-5 members
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹17,990","₹13,890",22% off,4.3,Digital Inverter Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,192 L : Good for couples and small families
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹14,900","₹12,290",17% off,4.3,Normal Compressor,2 Star : For Energy savings up to 20%,Toughened Glass Shelves,190 L : Good for couples and small families
Godrej 190 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹17,500","₹13,990",20% off,4.4,Reciprocatory Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,190 L : Good for couples and small families
LG 190 L Direct Cool Single Door 4 Star Refrigerator,"₹18,190","₹15,290",15% off,4.4,Smart Inverter Compressor,4 Star : For Energy savings up to 45%,Toughened Glass Shelves,190 L : Good for couples and small families
Haier 256 L Frost Free Double Door Bottom Mount 3 Star Convertible Refrigerator,"₹31,400","₹22,590",28% off,4.4,Inverter Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,256 L : Good for families of 3-5 members
